#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:cytob_alignment" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cytob_alignment" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:cytob_alignment" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.cytob_alignment" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cytob_alignment" name="distribution" x="@birthRate.t:cytob_alignment">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@cytob_alignment" id="treeLikelihood.cytob_alignment" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cytob_alignment">
#            <siteModel id="SiteModel.s:cytob_alignment" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:cytob_alignment" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:cytob_alignment" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cytob_alignment" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:cytob_alignment" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:cytob_alignment" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:cytob_alignment" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-7495.421596971356	-7486.545677734683	-8.875919236673054	-7486.545677734683	3.221620370640623	8.875919236673054	-8.875919236673054	1.0
1000	-3176.8526058566354	-3196.321540686093	19.46893482945771	-3196.321540686093	0.05651273168722858	0.3454134740962366	19.46893482945771	39.277104073874185
2000	-3127.75813892328	-3150.895640596985	23.137501673704808	-3150.895640596985	0.03757259471181477	0.25318673634219396	23.137501673704808	35.32802506054084
3000	-3120.2723944428362	-3142.5625246189165	22.29013017608028	-3142.5625246189165	0.04198549248077394	0.2729593846108712	22.29013017608028	39.818952188782966
4000	-3119.469815389828	-3142.70005202935	23.230236639522182	-3142.70005202935	0.03813746061418692	0.2505015129121185	23.230236639522182	34.94975716253702
5000	-3120.876382422	-3143.579713079426	22.703330657425653	-3143.579713079426	0.039395430689963595	0.256150079956729	22.703330657425653	45.5214341942492
6000	-3122.6878791215922	-3144.5892166305193	21.9013375089273	-3144.5892166305193	0.04031249466823889	0.2677608506310222	21.9013375089273	21.809202487344724
7000	-3122.3770422981315	-3146.548428220898	24.17138592276655	-3146.548428220898	0.03226719092086566	0.21835504919697452	24.17138592276655	52.75961550123104
8000	-3119.2438491805015	-3142.8232773350364	23.579428154535073	-3142.8232773350364	0.03689818666425522	0.24040437746273868	23.579428154535073	34.74270093378343
9000	-3118.3589370326217	-3142.5793708993474	24.22043386672565	-3142.5793708993474	0.03463475614394829	0.2239176904945544	24.22043386672565	37.39517020987324
10000	-3120.7072248416152	-3144.65130345034	23.944078608724723	-3144.65130345034	0.03577107828784162	0.2291861992210848	23.944078608724723	45.08526965217122
11000	-3119.1318412223077	-3142.5957084256643	23.463867203356475	-3142.5957084256643	0.03855602532075618	0.24413866375944346	23.463867203356475	36.235510031288435
12000	-3122.326419930417	-3145.967237005335	23.64081707491762	-3145.967237005335	0.03913688578865481	0.23606766000837232	23.64081707491762	32.07488939228261
13000	-3119.4690235552252	-3143.208710096517	23.73968654129145	-3143.208710096517	0.036381989427864234	0.23211091770889308	23.73968654129145	31.524162343464685
14000	-3124.031746421912	-3146.810606444064	22.778860022152195	-3146.810606444064	0.03654755645630063	0.23381104285611828	22.778860022152195	60.49249978320063
